街区,租赁方式,朝向,每月租金,行政区,板块,房屋面积,格局,发布时长
,,,35000,松江,佘山,369.62㎡,6室2厅4卫,"
            链家          "
,,,7500,静安,大宁,80.00㎡,2室1厅1卫,"
            链家          "
,,,4300,宝山,张庙,54.76㎡,2室1厅1卫,"
            链家          "
,,,17000,徐汇,田林,140.60㎡,3室2厅2卫,"
            链家          "
,,,25000,青浦,徐泾,192.78㎡,4室2厅3卫,"
            链家          "
,,,55000,黄浦,黄浦滨江,373.20㎡,4室2厅4卫,"
            链家          "
,,,3400,青浦,朱家角,89.60㎡,3室1厅1卫,"
            链家          "
,,,6200,浦东,金杨,78.00㎡,2室1厅1卫,"
            链家          "
,,,13530,普陀,中远两湾城,,南,"
            自如          "
,,,4000,宝山,高境,49.98㎡,2室1厅1卫,"
            链家          "
,,,7700,浦东,梅园,72.20㎡,2室1厅1卫,"
            链家          "
,,,5000,浦东,惠南,198.99㎡,5室2厅2卫,"
            链家          "
,,,4100,虹口,鲁迅公园,44.90㎡,1室1厅1卫,"
            链家          "
,,,3530,浦东,外高桥,37.39㎡,1室1厅1卫,"
            自如          "
,,,4130,浦东,金杨,43.13㎡,1室1厅1卫,"
            自如          "
,,,14000,浦东,周浦,225.00㎡,4室2厅2卫,"
            链家          "
,,,6290,浦东,三林,61.49㎡,1室1厅1卫,"
            自如          "
,,,5600,浦东,潍坊,44.57㎡,2室0厅1卫,"
            链家          "
,,,3060,嘉定,嘉定老城,47.60㎡,2室1厅1卫,"
            自如          "
,,,11500,嘉定,新成路,392.53㎡,5室2厅3卫,"
            链家          "
,,,5460,杨浦,中原,48.12㎡,2室1厅1卫,"
            自如          "
,,,45000,静安,不夜城,148.97㎡,3室2厅2卫,"
            链家          "
,,,18000,黄浦,南京东路,81.41㎡,2室1厅1卫,"
            曼舍          "
,,,4000,宝山,高境,49.98㎡,2室1厅1卫,"
            链家          "
,,,7700,浦东,梅园,72.20㎡,2室1厅1卫,"
            链家          "
,,,5000,浦东,惠南,198.99㎡,5室2厅2卫,"
            链家          "
,,,4100,虹口,鲁迅公园,44.90㎡,1室1厅1卫,"
            链家          "
,,,14000,浦东,周浦,225.00㎡,4室2厅2卫,"
            链家          "
,,,4090,浦东,塘桥,,北,"
            自如          "
,,,4830,长宁,中山公园,,东,"
            自如          "
,,,5600,浦东,潍坊,44.57㎡,2室0厅1卫,"
            链家          "
,,,11500,嘉定,新成路,392.53㎡,5室2厅3卫,"
            链家          "
,,,4890,浦东,梅园,,南,"
            自如          "
,,,9660,浦东,洋泾,,南,"
            自如          "
,,,45000,静安,不夜城,148.97㎡,3室2厅2卫,"
            链家          "
,,,5560,闵行,七宝,,南,"
            自如          "
,,,7300,浦东,杨思前滩,80.00㎡,3室1厅1卫,"
            链家          "
,,,7300,静安,苏河湾,63.48㎡,1室2厅1卫,"
            链家          "
,,,5600,静安,大宁,50.95㎡,2室0厅1卫,"
            链家          "
,,,4590,虹口,曲阳,,南,"
            自如          "
,,,6030,长宁,新华路,,南,"
            自如          "
,,,5330,闵行,古美,,南,"
            自如          "
,,,5800,虹口,江湾镇,79.06㎡,2室1厅1卫,"
            链家          "
,,,2900,松江,松江新城,33.00㎡,1室1厅1卫,"
            链家          "
,,,6760,普陀,甘泉宜川,,南,"
            自如          "
,,,5200,长宁,中山公园,39.60㎡,1室1厅1卫,"
            链家          "
,,,4560,徐汇,长桥,30.03㎡,1室1厅1卫,"
            自如          "
,,,4522,浦东,金杨,43.13㎡,1室1厅1卫,"
            自如          "
,,,3530,浦东,周浦,55.34㎡,1室1厅1卫,"
            自如          "
,,,6050,浦东,北蔡,74.16㎡,2室1厅1卫,"
            链家          "
,,,3400,浦东,川沙,73.27㎡,1室1厅1卫,"
            链家          "
,,,2600,闵行,闵浦,57.90㎡,1室1厅1卫,"
            链家          "
,,,9000,松江,松江大学城,91.88㎡,4室2厅1卫,"
            链家          "
,,,3500,松江,佘山,80.28㎡,3室2厅1卫,"
            链家          "
,,,4830,普陀,长风,,南,"
            自如          "
,,,14500,黄浦,五里桥,120.09㎡,2室2厅2卫,"
            链家          "
,,,5519,浦东,洋泾,,东北,"
            自如          "
,,,7500,长宁,中山公园,50.85㎡,1室1厅1卫,"
            链家          "
,,,9100,浦东,世博,91.68㎡,2室2厅1卫,"
            链家          "
,,,3500,静安,彭浦,51.98㎡,2室0厅1卫,"
            链家          "
,,,4190,杨浦,东外滩,,南,"
            自如          "
,,,3800,浦东,金桥,68.60㎡,2室1厅1卫,"
            链家          "
,,,6000,浦东,塘桥,59.71㎡,2室1厅1卫,"
            链家          "
,,,6500,青浦,赵巷,89.34㎡,3室1厅1卫,"
            链家          "
,,,5290,杨浦,周家嘴路,,南,"
            自如          "
,,,6330,普陀,光新,,南,"
            自如          "
,,,6090,长宁,新华路,,南,"
            自如          "
,,,14400,松江,九亭,169.94㎡,5室2厅3卫,"
            链家          "
,,,6100,长宁,仙霞,54.52㎡,2室1厅1卫,"
            链家          "
,,,5560,青浦,盈浦,,南,"
            自如          "
,,,7000,普陀,曹杨,83.50㎡,2室2厅1卫,"
            链家          "
,,,4330,闵行,莘庄北广场,,南,"
            自如          "
,,,5100,松江,松江大学城,69.00㎡,2室1厅1卫,"
            链家          "
,,,4530,静安,大宁,,南,"
            自如          "
,,,19000,普陀,光新,154.45㎡,3室2厅2卫,"
            链家          "
,,,3200,宝山,顾村,89.77㎡,2室2厅1卫,"
            链家          "
,,,4990,浦东,高行,54.38㎡,1室1厅1卫,"
            自如          "
,,,2900,杨浦,中原,42.58㎡,1室1厅1卫,"
            链家          "
,,,4000,浦东,临港新城,96.15㎡,3室2厅2卫,"
            链家          "
,,,4990,静安,苏河湾,36.00㎡,1室1厅1卫,"
            自如          "
,,,3100,浦东,临港新城,92.68㎡,3室2厅2卫,"
            链家          "
,,,60000,杨浦,新江湾城,610.00㎡,5室3厅5卫,"
            链家          "
,,,4930,静安,彭浦,54.57㎡,2室1厅1卫,"
            自如          "
,,,6289,闵行,古美,,南,"
            自如          "
,,,4600,嘉定,江桥,73.00㎡,2室1厅1卫,"
            链家          "
,,,3600,宝山,顾村,102.89㎡,3室2厅2卫,"
            链家          "
,,,4700,浦东,洋泾,44.11㎡,1室1厅1卫,"
            链家          "
,,,5060,闵行,龙柏,,南,"
            自如          "
,,,500,崇明,陈家镇,104.60㎡,3室2厅1卫,"
            链家          "
,,,12000,浦东,三林,98.00㎡,3室2厅2卫,"
            链家          "
,,,6000,宝山,罗店,281.85㎡,4室2厅3卫,"
            链家          "
,,,3000,嘉定,嘉定新城,39.00㎡,2室1厅1卫,"
            链家          "
,,,5160,宝山,大场镇,,南,"
            自如          "
,,,3800,嘉定,南翔,49.67㎡,2室2厅1卫,"
            链家          "
,,,1300,金山,金山新城,104.00㎡,2室2厅2卫,"
            链家          "
,,,2200,浦东,惠南,79.24㎡,2室1厅1卫,"
            链家          "
,,,6500,闵行,吴泾,106.00㎡,3室2厅2卫,"
            链家          "
,,,5090,闵行,古美,,南,"
            自如          "
,,,1500,崇明,陈家镇,88.80㎡,2室2厅1卫,"
            链家          "
,,,4930,虹口,曲阳,,南,"
            自如          "
,,,1200,嘉定,南翔,13.00㎡,1室0厅1卫,"
            链家          "
,,,2400,嘉定,菊园新区,46.52㎡,1室1厅1卫,"
            链家          "
,,,5600,浦东,北蔡,55.00㎡,1室1厅1卫,"
            链家          "
,,,7500,杨浦,鞍山,71.52㎡,2室1厅1卫,"
            链家          "
,,,7200,黄浦,世博滨江,65.80㎡,2室1厅1卫,"
            链家          "
,,,8000,松江,松江新城,136.53㎡,5室2厅2卫,"
            链家          "
,,,5120,长宁,中山公园,,南,"
            自如          "
,,,5190,浦东,曹路,,东,"
            自如          "
,,,13500,青浦,朱家角,116.44㎡,3室2厅3卫,"
            链家          "
,,,3200,浦东,临港新城,90.53㎡,2室2厅3卫,"
            链家          "
,,,11000,虹口,临平路,173.37㎡,3室1厅1卫,"
            链家          "
,,,4800,青浦,朱家角,199.20㎡,3室2厅3卫,"
            链家          "
,,,11860,普陀,武宁,134.00㎡,2室1厅1卫,"
            自如          "
,,,12800,普陀,长寿路,109.01㎡,2室2厅1卫,"
            链家          "
,,,8890,静安,闸北公园,,南,"
            自如          "
,,,5800,长宁,新华路,48.87㎡,2室1厅1卫,"
            链家          "
,,,5500,青浦,赵巷,88.46㎡,4室1厅1卫,"
            链家          "
,,,4000,宝山,顾村,70.81㎡,2室1厅1卫,"
            链家          "
,,,4000,浦东,惠南,113.74㎡,3室2厅2卫,"
            链家          "
,,,6400,闵行,莘庄北广场,75.40㎡,3室1厅1卫,"
            链家          "
,,,5390,虹口,鲁迅公园,,南,"
            自如          "
,,,4930,杨浦,鞍山,,南,"
            自如          "
,,,3290,闵行,浦江,,北,"
            自如          "
,,,5100,普陀,长寿路,37.83㎡,1室1厅1卫,"
            链家          "
,,,5060,静安,阳城,,南,"
            自如          "
,,,5000,宝山,罗店,96.91㎡,3室2厅2卫,"
            链家          "
,,,8900,静安,大宁,95.66㎡,3室2厅1卫,"
            链家          "
,,,13530,普陀,中远两湾城,,南,"
            自如          "
,,,3530,浦东,外高桥,37.39㎡,1室1厅1卫,"
            自如          "
,,,4130,浦东,金杨,43.13㎡,1室1厅1卫,"
            自如          "
,,,5600,徐汇,徐家汇,41.26㎡,1室1厅1卫,"
            链家          "
,,,21000,静安,南京西路,123.90㎡,3室2厅2卫,"
            链家          "
,,,10000,松江,小昆山,215.47㎡,3室2厅2卫,"
            链家          "
,,,33000,静安,曹家渡,237.98㎡,3室1厅3卫,"
            链家          "
,,,6290,浦东,三林,61.49㎡,1室1厅1卫,"
            自如          "
,,,5800,浦东,唐镇,44.00㎡,1室1厅1卫,"
            链家          "
,,,3060,嘉定,嘉定老城,47.60㎡,2室1厅1卫,"
            自如          "
,,,7000,青浦,华新,99.00㎡,3室2厅2卫,"
            链家          "
,,,5460,杨浦,中原,48.12㎡,2室1厅1卫,"
            自如          "
,,,6800,浦东,源深,68.47㎡,2室1厅1卫,"
            链家          "
,,,4300,普陀,长风,42.24㎡,2室0厅1卫,"
            链家          "
,,,1300,崇明,崇明新城,56.16㎡,2室1厅1卫,"
            链家          "
,,,3500,浦东,周浦,42.89㎡,1室1厅1卫,"
            链家          "
,,,5700,宝山,张庙,52.86㎡,2室1厅1卫,"
            链家          "
,,,4300,浦东,南码头,34.50㎡,1室1厅1卫,"
            链家          "
,,,4090,浦东,金桥,,南,"
            自如          "
,,,3330,浦东,周浦,,北,"
            自如          "
,,,6860,浦东,陆家嘴,,南,"
            自如          "
,,,15400,静安,曹家渡,134.60㎡,3室2厅2卫,"
            链家          "
,,,9500,松江,佘山,377.16㎡,5室2厅5卫,"
            链家          "
,,,16000,长宁,天山,90.00㎡,2室2厅1卫,"
            链家          "
,,,2700,奉贤,西渡,60.40㎡,1室1厅1卫,"
            链家          "
,,,2900,松江,松江大学城,48.07㎡,2室1厅1卫,"
            链家          "
,,,49800,黄浦,新天地,315.35㎡,3室2厅2卫,"
            链家          "
,,,16000,徐汇,建国西路,107.71㎡,2室2厅2卫,"
            链家          "
,,,6300,徐汇,上海南站,75.14㎡,2室1厅1卫,"
            链家          "
,,,6000,徐汇,田林,79.84㎡,2室1厅1卫,"
            链家          "
,,,12260,徐汇,徐家汇,,南,"
            自如          "
,,,2600,松江,松江老城,69.92㎡,2室1厅1卫,"
            链家          "
,,,7080,静安,南京西路,51.01㎡,2室1厅1卫,"
            链家          "
,,,48000,静安,苏河湾,227.57㎡,4室2厅3卫,"
            链家          "
,,,4018,静安,阳城,40.72㎡,1室1厅1卫,"
            自如          "
,,,17000,长宁,古北,130.88㎡,3室2厅2卫,"
            链家          "
,,,19999,长宁,天山,136.31㎡,3室1厅2卫,"
            曼舍          "
,,,6042,虹口,江湾镇,73.00㎡,2室1厅1卫,"
            自如          "
,,,3500,虹口,凉城,34.00㎡,1室0厅1卫,"
            链家          "
,,,6000,闵行,春申,84.33㎡,2室1厅1卫,"
            链家          "
,,,8200,静安,江宁路,77.63㎡,1室2厅1卫,"
            链家          "
,,,2000,崇明,陈家镇,136.00㎡,3室2厅2卫,"
            链家          "
,,,7500,静安,大宁,119.75㎡,3室2厅2卫,"
            链家          "
,,,4200,虹口,曲阳,30.69㎡,1室0厅1卫,"
            链家          "
,,,15000,徐汇,万体馆,129.72㎡,3室2厅2卫,"
            链家          "
,,,5560,徐汇,华泾,89.21㎡,2室1厅1卫,"
            自如          "
,,,4258,浦东,杨思前滩,,南,"
            自如          "
,,,7300,青浦,赵巷,110.21㎡,3室1厅2卫,"
            链家          "
,,,5930,浦东,洋泾,,南,"
            自如          "
,,,3500,浦东,书院镇,89.00㎡,3室2厅1卫,"
            链家          "
,,,3000,嘉定,徐行,89.07㎡,3室1厅1卫,"
            链家          "
,,,4500,静安,闸北公园,33.84㎡,1室1厅1卫,"
            链家          "
,,,4700,浦东,金桥,63.33㎡,2室1厅1卫,"
            链家          "
,,,6300,黄浦,蓬莱公园,48.17㎡,2室0厅1卫,"
            链家          "
,,,1980,浦东,泥城镇,45.41㎡,1室1厅1卫,"
            链家          "
,,,4260,嘉定,嘉定新城,,南,"
            自如          "
,,,25000,奉贤,奉城,323.15㎡,4室3厅3卫,"
            链家          "
,,,4394,浦东,北蔡,,南,"
            自如          "
,,,16800,徐汇,斜土路,133.55㎡,3室2厅2卫,"
            链家          "
,,,16500,浦东,杨东,151.83㎡,3室2厅2卫,"
            链家          "
,,,6000,普陀,甘泉宜川,86.89㎡,2室2厅1卫,"
            链家          "
,,,6000,闵行,莘庄南广场,91.00㎡,2室2厅1卫,"
            链家          "
,,,16500,徐汇,徐汇滨江,92.97㎡,2室1厅1卫,"
            链家          "
,,,7390,青浦,徐泾,91.64㎡,3室1厅1卫,"
            自如          "
,,,5660,徐汇,龙华,43.56㎡,2室1厅1卫,"
            自如          "
,,,5229,徐汇,上海南站,43.48㎡,1室1厅1卫,"
            自如          "
,,,3800,嘉定,菊园新区,90.83㎡,2室2厅1卫,"
            链家          "
,,,19000,徐汇,衡山路,69.80㎡,2室1厅1卫,"
            曼舍          "
,,,6090,浦东,金杨,62.73㎡,2室1厅1卫,"
            自如          "
,,,8000,杨浦,黄兴公园,81.50㎡,1室2厅1卫,"
            链家          "
,,,4230,静安,不夜城,35.34㎡,1室1厅1卫,"
            自如          "
,,,10350,徐汇,徐家汇,98.07㎡,2室2厅1卫,"
            链家          "
,,,2500,闵行,闵浦,74.00㎡,2室1厅1卫,"
            链家          "
,,,9000,黄浦,南京东路,70.56㎡,1室1厅1卫,"
            链家          "
,,,2300,嘉定,安亭,49.30㎡,1室1厅1卫,"
            链家          "
,,,2000,浦东,临港新城,57.00㎡,3室1厅2卫,"
            链家          "
,,,4800,浦东,康桥,75.54㎡,2室2厅1卫,"
            链家          "
,,,5025,闵行,古美,,南,"
            自如          "
,,,4860,杨浦,东外滩,,南,"
            自如          "
,,,3618,虹口,凉城,,北,"
            自如          "
,,,5400,静安,江宁路,35.32㎡,1室1厅1卫,"
            链家          "
,,,3000,宝山,淞宝,51.19㎡,2室1厅1卫,"
            链家          "
,,,5160,杨浦,中原,,南,"
            自如          "
,,,3700,普陀,光新,36.72㎡,1室1厅1卫,"
            链家          "
,,,4030,虹口,江湾镇,,南,"
            自如          "
,,,5660,闵行,龙柏,,南,"
            自如          "
,,,2830,宝山,罗店,,南,"
            自如          "
,,,2000,金山,金山新城,126.00㎡,3室2厅2卫,"
            链家          "
,,,2000,崇明,崇明新城,80.00㎡,2室2厅1卫,"
            链家          "
,,,8000,闵行,七宝,102.87㎡,4室1厅1卫,"
            链家          "
,,,5000,浦东,周浦,128.00㎡,3室2厅2卫,"
            链家          "
,,,14000,静安,不夜城,89.80㎡,2室2厅1卫,"
            链家          "
,,,5990,长宁,仙霞,,南,"
            自如          "
,,,5800,松江,九亭,129.73㎡,2室2厅1卫,"
            链家          "
,,,5330,杨浦,周家嘴路,,南,"
            自如          "
,,,4700,浦东,杨思前滩,67.37㎡,2室1厅1卫,"
            链家          "
,,,10000,长宁,镇宁路,82.58㎡,2室1厅1卫,"
            链家          "
,,,5886,浦东,三林,,南,"
            自如          "
,,,5130,杨浦,中原,58.39㎡,2室1厅1卫,"
            自如          "
,,,3000,青浦,盈浦,81.32㎡,2室2厅1卫,"
            链家          "
,,,6200,杨浦,鞍山,55.88㎡,2室1厅1卫,"
            链家          "
,,,21900,徐汇,衡山路,86.79㎡,2室1厅1卫,"
            曼舍          "
,,,4990,静安,彭浦,49.31㎡,2室1厅1卫,"
            自如          "
,,,6460,静安,大宁,57.61㎡,2室1厅1卫,"
            自如          "
,,,8730,静安,大宁,79.00㎡,2室1厅1卫,"
            自如          "
,,,8800,嘉定,江桥,148.00㎡,3室2厅2卫,"
            链家          "
,,,2450,浦东,航头,53.61㎡,1室1厅1卫,"
            链家          "
,,,9860,静安,闸北公园,,东南,"
            自如          "
,,,12000,青浦,徐泾,180.74㎡,3室2厅2卫,"
            链家          "
,,,1700,金山,金山新城,49.57㎡,1室1厅1卫,"
            链家          "
,,,3830,嘉定,江桥,,北,"
            自如          "
,,,4500,宝山,上大,82.00㎡,2室1厅1卫,"
            链家          "
,,,12000,浦东,陆家嘴,118.00㎡,3室1厅2卫,"
            链家          "
,,,4630,浦东,世博,,南,"
            自如          "
,,,9200,静安,南京西路,58.83㎡,2室0厅1卫,"
            链家          "
,,,5800,浦东,临港新城,126.06㎡,3室2厅2卫,"
            链家          "
,,,26500,浦东,陆家嘴,210.46㎡,3室2厅2卫,"
            链家          "
,,,33000,黄浦,打浦桥,225.90㎡,4室2厅3卫,"
            链家          "
,,,7830,浦东,梅园,,北,"
            自如          "
,,,6560,浦东,梅园,,南,"
            自如          "
,,,2200,宝山,顾村,45.93㎡,2室1厅1卫,"
            链家          "
,,,4800,浦东,塘桥,34.41㎡,1室1厅1卫,"
            链家          "
,,,9000,黄浦,世博滨江,92.38㎡,2室1厅1卫,"
            链家          "
,,,5260,闵行,浦江,,南,"
            自如          "
,,,4683,长宁,中山公园,,南,"
            自如          "
,,,5500,闵行,龙柏,52.41㎡,2室1厅1卫,"
            链家          "
,,,4900,浦东,金桥,56.45㎡,1室1厅1卫,"
            链家          "
,,,4260,浦东,塘桥,,南,"
            自如          "
,,,3800,虹口,江湾镇,33.95㎡,1室0厅1卫,"
            链家          "
,,,19000,长宁,古北,143.82㎡,3室2厅2卫,"
            链家          "
,,,3130,嘉定,嘉定新城,51.22㎡,1室1厅1卫,"
            自如          "
,,,4500,宝山,顾村,89.35㎡,2室2厅1卫,"
            链家          "
,,,6430,杨浦,新江湾城,43.96㎡,1室2厅1卫,"
            自如          "
,,,8400,闵行,航华,90.97㎡,4室1厅2卫,"
            链家          "
,,,9000,浦东,张江,113.75㎡,2室2厅1卫,"
            链家          "
,,,10260,普陀,武宁,108.76㎡,2室1厅1卫,"
            自如          "
,,,5490,虹口,曲阳,,南,"
            自如          "
,,,4300,徐汇,上海南站,48.70㎡,2室0厅1卫,"
            链家          "
,,,2200,宝山,顾村,56.19㎡,1室1厅1卫,"
            链家          "
,,,1700,浦东,临港新城,52.29㎡,1室1厅1卫,"
            链家          "
,,,7360,虹口,北外滩,,东,"
            自如          "
,,,5930,长宁,中山公园,,东南,"
            自如          "
,,,2150,闵行,吴泾,22.00㎡,1室0厅1卫,"
            链家          "
,,,21800,长宁,中山公园,167.00㎡,3室2厅2卫,"
            链家          "
,,,5300,宝山,高境,61.64㎡,1室1厅1卫,"
            链家          "
,,,6290,浦东,梅园,,南,"
            自如          "
,,,10500,闵行,七宝,112.74㎡,3室2厅1卫,"
            链家          "
,,,4390,普陀,甘泉宜川,,南,"
            自如          "
,,,2700,松江,松江老城,79.50㎡,2室1厅1卫,"
            链家          "
,,,10000,浦东,杨思前滩,86.40㎡,2室1厅1卫,"
            链家          "
,,,7200,浦东,张江,48.33㎡,2室2厅2卫,"
            链家          "
,,,3287,宝山,杨行,,南,"
            自如          "
,,,10359,浦东,洋泾,,南,"
            自如          "
,,,4990,浦东,世博,54.00㎡,2室1厅1卫,"
            自如          "
,,,5500,黄浦,蓬莱公园,41.04㎡,1室1厅1卫,"
            链家          "
,,,3490,闵行,浦江,45.53㎡,1室1厅1卫,"
            自如          "
,,,7020,普陀,真如,110.00㎡,2室0厅2卫,"
            链家          "
,,,1500,奉贤,南桥,62.83㎡,2室1厅1卫,"
            链家          "
,,,5100,浦东,潍坊,29.90㎡,1室1厅1卫,"
            链家          "
,,,4700,长宁,新华路,38.44㎡,1室1厅1卫,"
            链家          "
,,,4190,浦东,碧云,47.73㎡,1室1厅1卫,"
            自如          "
,,,2300,金山,金山新城,56.10㎡,3室0厅3卫,"
            链家          "
,,,4290,宝山,淞南,58.00㎡,2室1厅1卫,"
            自如          "
,,,12500,浦东,联洋,99.00㎡,2室2厅1卫,"
            链家          "
,,,5800,浦东,御桥,113.88㎡,3室2厅1卫,"
            链家          "
,,,4490,闵行,莘庄北广场,47.84㎡,1室1厅1卫,"
            自如          "
,,,10000,闵行,华漕,104.00㎡,3室2厅2卫,"
            链家          "
,,,5390,闵行,梅陇,,南,"
            自如          "
,,,3790,松江,松江老城,,南,"
            自如          "
,,,3500,长宁,中山公园,11.00㎡,1室0厅1卫,"
            链家          "
,,,14000,浦东,航头,188.00㎡,4室2厅3卫,"
            链家          "
,,,4000,虹口,曲阳,35.36㎡,1室1厅1卫,"
            链家          "
,,,4390,普陀,桃浦,,南,"
            自如          "
,,,5800,普陀,长征,65.50㎡,2室1厅1卫,"
            链家          "
,,,2700,奉贤,南桥,110.37㎡,3室2厅3卫,"
            链家          "
,,,5000,浦东,梅园,31.11㎡,1室1厅1卫,"
            链家          "
,,,3460,杨浦,鞍山,,西,"
            自如          "
,,,5930,浦东,金杨,58.24㎡,2室1厅1卫,"
            自如          "
,,,6200,浦东,金桥,86.85㎡,4室0厅1卫,"
            链家          "
,,,2200,青浦,盈浦,47.50㎡,2室0厅1卫,"
            链家          "
,,,9000,徐汇,万体馆,105.17㎡,3室2厅1卫,"
            链家          "
,,,7300,普陀,长寿路,45.32㎡,1室2厅1卫,"
            链家          "
,,,8500,松江,莘闵别墅,319.16㎡,4室2厅3卫,"
            链家          "
,,,9000,浦东,杨思前滩,102.21㎡,3室1厅1卫,"
            链家          "
,,,2000,奉贤,庄行,120.77㎡,3室2厅2卫,"
            链家          "
,,,6900,浦东,康桥,116.96㎡,3室2厅1卫,"
            链家          "
,,,3200,宝山,张庙,37.47㎡,1室1厅1卫,"
            链家          "
,,,3990,宝山,淞宝,50.55㎡,2室1厅1卫,"
            自如          "
,,,2100,宝山,顾村,50.00㎡,1室1厅1卫,"
            链家          "
,,,17600,黄浦,新天地,135.02㎡,3室2厅2卫,"
            链家          "
,,,8800,浦东,张江,129.00㎡,3室2厅1卫,"
            链家          "
,,,3100,松江,松江大学城,53.80㎡,1室1厅1卫,"
            链家          "
,,,17000,长宁,新华路,144.99㎡,3室2厅2卫,"
            链家          "
,,,6700,普陀,真光,137.84㎡,4室1厅2卫,"
            链家          "
,,,9000,浦东,塘桥,101.18㎡,2室2厅1卫,"
            链家          "
,,,4290,宝山,张庙,42.00㎡,1室1厅1卫,"
            自如          "
,,,3900,徐汇,田林,30.06㎡,1室0厅1卫,"
            链家          "
,,,6000,嘉定,嘉定新城,100.00㎡,3室2厅1卫,"
            链家          "
,,,5760,黄浦,五里桥,,北,"
            自如          "
,,,6800,闵行,华漕,90.00㎡,2室2厅1卫,"
            链家          "
,,,3259,宝山,罗店,,南,"
            自如          "
,,,5990,浦东,北蔡,,南,"
            自如          "
,,,4600,浦东,北蔡,51.13㎡,2室1厅1卫,"
            链家          "
,,,6000,徐汇,康健,61.78㎡,2室1厅1卫,"
            链家          "
,,,8200,闵行,金汇,107.11㎡,3室2厅2卫,"
            链家          "
,,,13000,松江,泗泾,296.56㎡,6室3厅3卫,"
            链家          "
,,,3500,浦东,惠南,127.01㎡,3室2厅2卫,"
            链家          "
,,,7920,青浦,盈浦,162.91㎡,5室2厅1卫,"
            链家          "
,,,3500,崇明,长兴岛,119.05㎡,3室2厅2卫,"
            链家          "
,,,5400,杨浦,周家嘴路,39.22㎡,1室1厅1卫,"
            链家          "
,,,8800,长宁,中山公园,96.76㎡,2室2厅1卫,"
            链家          "
,,,4800,徐汇,衡山路,22.00㎡,1室1厅1卫,"
            链家          "
,,,6490,长宁,中山公园,,南,"
            自如          "
,,,2500,青浦,朱家角,100.29㎡,2室1厅1卫,"
            链家          "
,,,4800,浦东,张江,36.81㎡,1室1厅1卫,"
            链家          "
,,,6400,闵行,航华,66.22㎡,3室1厅1卫,"
            链家          "
,,,3650,松江,松江大学城,59.49㎡,1室1厅1卫,"
            链家          "
,,,10000,普陀,真如,151.81㎡,3室2厅1卫,"
            链家          "
,,,4800,黄浦,老西门,36.00㎡,1室1厅1卫,"
            链家          "
,,,1550,金山,金山新城,47.26㎡,1室1厅1卫,"
            链家          "
,,,5760,虹口,凉城,,南,"
            自如          "
,,,15000,黄浦,世博滨江,61.46㎡,2室1厅1卫,"
            链家          "
,,,3990,普陀,甘泉宜川,39.84㎡,1室1厅1卫,"
            自如          "
,,,9200,普陀,武宁,124.00㎡,2室2厅1卫,"
            链家          "
,,,14000,黄浦,蓬莱公园,112.91㎡,2室2厅2卫,"
            链家          "
,,,3800,青浦,华新,104.93㎡,3室2厅1卫,"
            链家          "
,,,2200,松江,松江老城,68.23㎡,2室1厅1卫,"
            链家          "
,,,2200,松江,松江老城,51.24㎡,2室1厅1卫,"
            链家          "
,,,5100,浦东,临港新城,126.50㎡,3室1厅2卫,"
            链家          "
,,,9438,青浦,徐泾,,南,"
            自如          "
,,,4700,松江,松江新城,138.68㎡,3室2厅2卫,"
            链家          "
,,,12060,长宁,中山公园,,南,"
            自如          "
,,,8000,长宁,中山公园,59.30㎡,1室1厅1卫,"
            链家          "
,,,7500,宝山,杨行,121.25㎡,4室2厅2卫,"
            链家          "
,,,3500,浦东,临港新城,89.88㎡,3室2厅2卫,"
            链家          "
,,,3260,宝山,淞宝,,南,"
            自如          "
,,,8290,虹口,鲁迅公园,,南,"
            自如          "
,,,4660,虹口,江湾镇,,南,"
            自如          "
,,,12500,徐汇,万体馆,130.41㎡,3室2厅2卫,"
            链家          "
,,,5500,徐汇,田林,50.18㎡,2室0厅1卫,"
            链家          "
,,,5600,闵行,莘庄北广场,89.00㎡,2室2厅1卫,"
            链家          "
,,,3800,奉贤,南桥,99.82㎡,2室2厅1卫,"
            链家          "
,,,3830,虹口,凉城,,南,"
            自如          "
,,,15000,普陀,长寿路,132.00㎡,3室2厅2卫,"
            链家          "
,,,11000,松江,新桥,182.85㎡,4室2厅3卫,"
            链家          "
,,,3800,宝山,顾村,131.22㎡,3室2厅2卫,"
            链家          "
,,,4490,杨浦,鞍山,,南,"
            自如          "
,,,4000,宝山,淞宝,78.13㎡,2室1厅1卫,"
            链家          "
,,,18600,松江,泗泾,330.00㎡,4室2厅3卫,"
            链家          "
,,,2700,浦东,川沙,82.00㎡,3室1厅1卫,"
            链家          "
,,,8189,静安,南京西路,51.88㎡,1室1厅1卫,"
            自如          "
,,,4452,静安,彭浦,54.48㎡,2室1厅1卫,"
            自如          "
,,,4030,普陀,真如,43.63㎡,1室1厅1卫,"
            自如          "
,,,8000,松江,莘闵别墅,172.16㎡,4室2厅3卫,"
            链家          "
,,,4590,普陀,甘泉宜川,41.70㎡,1室1厅1卫,"
            自如          "
,,,4588,徐汇,田林,42.51㎡,1室1厅1卫,"
            自如          "
,,,4200,长宁,北新泾,33.81㎡,1室1厅1卫,"
            链家          "
,,,5390,浦东,三林,,南,"
            自如          "
,,,3700,徐汇,华东理工,40.61㎡,1室1厅1卫,"
            链家          "
